DMC	Floss Name	Hex_SP	Hex_SF	R_CAZ	G_CAZ	B_CAZ	Hex_CAZ	Sum	Hue	Hex_Ego	Kolonne	Række
3713	Salmon Very Light	#F4CECD	#FCD5D0	255	226	226	#FFE2E2	707	6,28	#FFCFB2	1	1
761	Salmon Light	#EAB8B9	#F9B4AD	255	201	201	#FFC9C9	657	6,28	#FEBDA6	1	2
760	Salmon	#D28C8E	#ED8880	245	173	173	#F5ADAD	591	6,28	#FF9080	1	3
3712	Salmon Medium	#BC6868	#D95D5D	241	135	135	#F18787	511	6,28	#F96E61	1	4
3328	Salmon Dark	#A64B4A	#BF4449	227	109	109	#E36D6D	445	6,28	#E03C35	1	5
347	Salmon Very Dark	#92202A	#AB1B34	191	45	45	#BF2D2D	281	6,28	#E31E21	1	6
353	Peach	#F2C1B0	#FDB4A1	254	215	204	#FED7CC	673	0,21	#FFC9A5	1	7
352	Coral Light	#D98676	#F78472	253	156	151	#FD9C97	560	0,04	#F3886A	1	8
351	Coral	#B84A3D	#ED625B	233	106	103	#E96A67	442	0,02	#E1392F	1	9
350	Coral Medium	#A73229	#DE4041	224	72	72	#E04848	368	6,28	#DB241D	1	10
349	Coral Dark	#950A1F	#C62C38	210	16	53	#D21035	279	6,10	#DD151B	1	11
817	Coral Red Very Dark	#8F0215	#BA162F	187	5	31	#BB051F	223	6,15	#D30C0D	1	12
304	Red Medium	#7F002D	#A20C39	183	31	51	#B71F33	265	6,16	#BC0B13	1	13
3833	Raspberry Light	#C26F7F	#EB8B96	234	134	153	#EA8699	521	6,10	#F0686C	1	14
3832	Raspberry Medium	#B1475D	#E36370	219	85	110	#DB556E	414	6,11	#E1373F	1	15
3831	Raspberry Dark	#91253C	#C12B51	179	47	72	#B32F48	298	6,10	#C2161D	1	16
777	Raspberry Very Dark	#600224	#9B0042	145	53	70	#913546	268	6,11	#A90308	1	17
3801	Melon Very Dark	#B62E3C	#E4353C	231	73	103	#E74967	407	6,10	#F91F20	1	18
666	Bright Red	#980015	#CD1A32	227	29	66	#E31D42	322	6,11	#F90C0C	1	19
321	Red	#7E0018	#BD1236	199	43	59	#C72B3B	301	6,19	#E40912	1	20
498	Red Dark	#67001B	#970C2D	167	19	43	#A7132B	229	6,13	#B90E17	1	21
816	Garnet	#6E001D	#931238	151	11	35	#970B23	197	6,12	#C5141B	1	22
815	Garnet Medium	#50001B	#800B35	135	7	31	#87071F	173	6,11	#A7141D	1	23
